DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Hughes,ON,Pauline Hanson's One Nation,SEYMOUR,Narelle
McMahon,LDP,Liberal Democrats,SHAMSABAD,Cameron
Eden-Monaro,ON,Pauline Hanson's One Nation,SHANNON,Boyd
Mayo,XEN,Centre Alliance,SHARKIE,Rebekha
Wentworth,LP,Liberal,SHARMA,Dave
New England,IND,Independent,SHARPHAM,Matt
Richmond,IND,Independent,SHARPLES,Terry Patrick
Clark,GRN,The Greens,SHELLEY,Janet
Richmond,IMO,Informed Medical Options Party,SHEPHERD,Monica
Sturt,AJP,Animal Justice Party,SHERLOCK,David
Durack,CYA,Australian Federation Party,SHORE,Craig
Maribyrnong,ALP,Australian Labor Party,SHORTEN,Bill
Werriwa,GRN,The Greens,SHUKLA,Apurva
Macarthur,UAPP,United Australia Party,SICARI,Rosa Antonia
Ryan,LNP,Liberal National Party of Queensland,SIMMONDS,Julian
Petrie,GRN,Queensland Greens,SIMON,Will
Lyne,ALP,Labor,SIMPSON,Alex
Bendigo,GVIC,The Greens,SINCLAIR,Cate
Chifley,LP,Liberal,SINGH,Jugandeep
McMahon,LP,Liberal,SINGHA,Vivek
Blaxland,UAPP,United Australia Party,SINOSIC,Elvis
Reid,ALP,Labor,SITOU,Sally
Canning,ON,Pauline Hanson's One Nation,SIWES,Tammi
La Trobe,CYA,Australian Federation Party,SKINNER,Rebecca
Bruce,LDP,Liberal Democrats,SKROBO,Christine
Calwell,VNS,Victorian Socialists,SMALL,Jerome
Fairfax,IND,Independent,SMITH,Barry
Maribyrnong,LDP,Liberal Democrats,SMITH,Cameron
Canberra,UAPP,United Australia Party,SMITH,Catherine
Bean,ALP,Australian Labor Party,SMITH,David
Grayndler,UAPP,United Australia Party,SMITH,David Bruce
Page,CYA,Australian Federation Party,SMITH,Heather Mary
Hasluck,CYA,Australian Federation Party,SMITH,Marijanna
Casey,LDP,Liberal Democrats,SMITH,Trevor Walter
Groom,IND,Independent,SMOLENSKI,Kirstie
Longman,GRN,Queensland Greens,SNIJDERS,Earl
Flinders,ALP,Australian Labor Party,SNOWBALL,Surbhi
Fenner,GRN,The Greens,SOJIC,Natasa
Hotham,LDP,Liberal Democrats,SOK,Edward
Isaacs,ON,Pauline Hanson's One Nation,SOKIRANSKY,Boris
Banks,ALP,Labor,SOON,Zhi
Corangamite,ON,Pauline Hanson's One Nation,SORENSEN,Luke
Fadden,GRN,Queensland Greens,SPAIN,Sally
New England,GRN,The Greens,SPARKS,Carol
Aston,UAPP,United Australia Party,SPELMAN,Rebekah Jane
Higgins,UAPP,United Australia Party,SPENCER,Ingram Magnus
Curtin,ALP,Australian Labor Party,SPENCER,Yannick
Wentworth,IND,Independent,SPENDER,Allegra
Burt,AUC,Australian Christians,SPYKER,Warnar
Bass,UAPP,United Australia Party,SQUIBB,Kyle
Tangney,AUC,Australian Christians,STAER,Mark
Calwell,LP,Liberal,STAKER-GUNN,Tim
Chisholm,DHJP,Derryn Hinch's Justice Party,STANFIELD,Thomas
Werriwa,ALP,Labor,STANLEY,Anne Maree
Capricornia,ON,Pauline Hanson's One Nation,STANTON,Kylee
Goldstein,ON,Pauline Hanson's One Nation,STARK,Lisa
Mackellar,TNL,TNL,STEELE,Barry
Hughes,IND,Independent,STEELE,Georgia
Warringah,IND,Independent,STEGGALL,Zali
Blaxland,ON,Pauline Hanson's One Nation,STEPANOFF,Adam
Forrest,WAP,WESTERN AUSTRALIA PARTY,STEPHENS,Greg
Indi,ON,Pauline Hanson's One Nation,STEVENS,Beth
Sturt,LP,Liberal,STEVENS,James
Bowman,UAPP,United Australia Party,STEVENS,Mary-Jane
Lilley,GRN,Queensland Greens,STEVENS,Melissa
Dobell,ON,Pauline Hanson's One Nation,STEVENSON,Martin
Hume,GRN,The Greens,STEWART,Karen
Pearce,GAP,The Great Australian Party,STEWART,Roslyn
Melbourne,ON,Pauline Hanson's One Nation,STRAGAN,Walter
Hasluck,GRN,The Greens (WA),STURCKE,Brendan
Bendigo,UAPP,United Australia Party,SUARES,Elijah
Blair,ON,Pauline Hanson's One Nation,SUDUK,Liz
Hawke,ON,Pauline Hanson's One Nation,SUDUK,Nick
Deakin,LP,Liberal,SUKKAR,Michael
Goldstein,DHJP,Derryn Hinch's Justice Party,SULLIVAN,Ellie Jean
Casey,DHJP,Derryn Hinch's Justice Party,SULLIVAN,Peter
Moore,CYA,Australian Federation Party,SUTER,Martin
Longman,UAPP,United Australia Party,SUTHERLAND,Stefanie Alexis
Forde,LDP,Liberal Democrats,SUTHERLAND,Tobby
Flynn,GAP,The Great Australian Party,SVENDSEN,Carla
Moreton,ON,Pauline Hanson's One Nation,SWANN,Neil
Paterson,ALP,Labor,SWANSON,Meryl
Boothby,LP,Liberal,SWIFT,Rachel
Barker,UAPP,United Australia Party,SWIGGS,David
Parkes,ON,Pauline Hanson's One Nation,SWINBOURN,Deborah
Perth,AJP,Animal Justice Party,SZMEKURA-MOOR,Sarah
Nicholls,CYA,Australian Federation Party,TABONE,Eleonor
Kingsford Smith,LP,Liberal,TAN,Grace
Kingsford Smith,UAPP,United Australia Party,TAWAF,Anthony
Ballarat,ON,Pauline Hanson's One Nation,TAXIS,Rosalie
Moncrieff,CYA,Australian Federation Party,TAYLER,James
Hume,LP,Liberal,TAYLOR,Angus
Brand,ON,Pauline Hanson's One Nation,TAYLOR,Jake
Corio,CYA,Australian Federation Party,TAYLOR,Jessica
Longman,ON,Pauline Hanson's One Nation,TAYLOR,Ross
Parramatta,LDP,Liberal Democrats,TAZEWELL,Liza
Wannon,LP,Liberal,TEHAN,Dan
Macquarie,ALP,Labor,TEMPLEMAN,Susan
Forrest,GRN,The Greens (WA),TERRANTROY,Christine
Jagajaga,LDP,Liberal Democrats,TESA,Maya
Werriwa,LDP,Liberal Democrats,TEY,Victor
Eden-Monaro,IND,Independent,THALER,Andrew
Kingsford Smith,ALP,Labor,THISTLETHWAITE,Matt
Kooyong,LDP,Liberal Democrats,THOM,Alexandra
New England,ON,Pauline Hanson's One Nation,THOMAS,Richard
Deakin,DHJP,Derryn Hinch's Justice Party,THOMPSON,Judith
Swan,LDP,Liberal Democrats,THOMPSON,Matthew
Wright,GRN,Queensland Greens,THOMPSON,Nicole
Hughes,GRN,The Greens,THOMPSON,Pete
Herbert,LNP,Liberal National Party of Queensland,THOMPSON,Phillip
Hume,ON,Pauline Hanson's One Nation,THOMPSON,Rebecca
Hunter,NP,The Nationals,THOMSON,James
Gippsland,GVIC,The Greens,THORPE,Marjorie
Jagajaga,ALP,Australian Labor Party,THWAITES,Kate
Fremantle,GAP,The Great Australian Party,TILBURY,Ben
Wills,ON,Pauline Hanson's One Nation,TINDAL,Jill
Maribyrnong,ON,Pauline Hanson's One Nation,TINDAL,Jodie
North Sydney,IND,Independent,TINK,Kylea Jane
North Sydney,LDP,Liberal Democrats,TINKLER,Dajen
O'Connor,UAPP,United Australia Party,TIRRONEN,Tracy Anne
Bowman,ON,Pauline Hanson's One Nation,TODD,Walter
Jagajaga,LP,Liberal,TOMAR,Sahil
Hunter,IMO,Informed Medical Options Party,TOWNSEND,Cathy
Fremantle,GRN,The Greens (WA),TOWNSEND,Felicity
Cowan,GRN,The Greens (WA),TRIPP,Isabella
Warringah,ON,Pauline Hanson's One Nation,TRIPP,Steven
Chisholm,IND,Independent,TSENG,Wayne
Aston,LP,Liberal,TUDGE,Alan
Hotham,ON,Pauline Hanson's One Nation,TULL,Roger
Maranoa,CYA,Australian Federation Party,TUNBRIDGE,Brett James
Paterson,ON,Pauline Hanson's One Nation,TURNER,Neil
Greenway,ON,Pauline Hanson's One Nation,TURNER,Rick
McPherson,GRN,Queensland Greens,TURNER,Scott
Cooper,ON,Pauline Hanson's One Nation,TURNER,William Tristan
Chisholm,ON,Pauline Hanson's One Nation,TYRRELL,Aaron
Nicholls,ON,Pauline Hanson's One Nation,TYRRELL,Rikkie-Lee
Swan,GRN,The Greens (WA),UINK,Clint
McPherson,ALP,Australian Labor Party,UNGERER,Carl
Cunningham,LP,Liberal,UREN,Marcus
Lalor,VNS,Victorian Socialists,URIBE,Claudio
Makin,ON,Pauline Hanson's One Nation,VAID,Rajan
Calwell,ALP,Australian Labor Party,VAMVAKINOU,Maria
Scullin,ON,Pauline Hanson's One Nation,van BREE,Ursula
Flinders,UAPP,United Australia Party,VAN DER END,Alex
Parkes,UAPP,United Australia Party,VAN DER STEEN,Petrus
Cowan,LDP,Liberal Democrats,van KRIEKEN,Micah
Forde,LNP,Liberal National Party of Queensland,VAN MANEN,Bert
Mayo,LDP,Liberal Democrats,VAN RAALTE,Jacob
Barton,GRN,The Greens,VANDIJK,Taylor
Bonner,LNP,Liberal National Party of Queensland,VASTA,Ross
Curtin,UAPP,United Australia Party,VERHOEFF,Ladeisha Louise
Hawke,CEC,Citizens Party,VESSEY,Glenn
Casey,LP,Liberal,VIOLI,Aaron
Gorton,UAPP,United Australia Party,VIRAG,Michael
Paterson,LP,Liberal,VITNELL,Brooke
Perth,WAP,WESTERN AUSTRALIA PARTY,VOS,Dave
Fremantle,SAL,Socialist Alliance,WAINWRIGHT,Sam
Canning,UAPP,United Australia Party,WALDECK,James Gordon
Higgins,AJP,Animal Justice Party,WALKER,Alicia
Fisher,LNP,Liberal National Party of Queensland,WALLACE,Andrew
North Sydney,ON,Pauline Hanson's One Nation,WALLS,Michael
Cowan,ON,Pauline Hanson's One Nation,WALSH,Tyler
Reid,ON,Pauline Hanson's One Nation,WALTERS,Edward
Dickson,UAPP,United Australia Party,WARD,Alina Karen
Hughes,LP,Liberal,WARE,Jenny
Griffith,ON,Pauline Hanson's One Nation,WARE,Shari
Newcastle,LP,Liberal,WARK,Katrina
Spence,UAPP,United Australia Party,WARREN,Alvin Eric
Richmond,IND,Independent,WARTH,David
Grey,UAPP,United Australia Party,WATERS,Suzanne
Bennelong,ON,Pauline Hanson's One Nation,WATERSON,Victor
Corangamite,AJP,Animal Justice Party,WATKINS,Meg
Moore,UAPP,United Australia Party,WATKINSON,Helen
O'Connor,GRN,The Greens (WA),WATSON,Giz
Grey,ALP,Australian Labor Party,WATSON,Julie
Newcastle,ON,Pauline Hanson's One Nation,WATSON,Mark James
Ryan,GRN,Queensland Greens,WATSON-BROWN,Elizabeth
Gellibrand,ALP,Australian Labor Party,WATTS,Tim
Mallee,NP,The Nationals,WEBSTER,Anne
McEwen,LP,Liberal,WELCH,Richard
O'Connor,ALP,Australian Labor Party,WELDON,Shaneane
Lilley,ALP,Australian Labor Party,WELLS,Anika
Fisher,GRN,Queensland Greens,WELLS,Renay
Monash,CYA,Australian Federation Party,WELSH,David Matthew
Whitlam,LDP,Liberal Democrats,WHEELER,Michael
Hawke,GVIC,The Greens,WHEELOCK,Lynda
Fairfax,GAP,The Great Australian Party,WHITE,Craig
Braddon,LDP,Liberal Democrats,WHITE,Duncan
Grey,ON,Pauline Hanson's One Nation,WHITE,Kerry Ann
Grey,GRN,The Greens,WHITE,Tim
Cooper,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",WHITEHEAD,Adrian
Chisholm,AJP,Animal Justice Party,WHITFIELD,Rod
Calare,ON,Pauline Hanson's One Nation,WHITTAKER,Stacey
Capricornia,GAP,The Great Australian Party,WHITTY,Zteven
Robertson,LP,Liberal,WICKS,Lucy
Flynn,UAPP,United Australia Party,WIEDEN,Tanya Maree
Lilley,ON,Pauline Hanson's One Nation,WILDE,Michelle
Clark,IND,Independent,WILKIE,Andrew
Dawson,LNP,Liberal National Party of Queensland,WILLCOX,Andrew
Canning,IND,Independent,WILLIAMS,Ashley Elphin
Wide Bay,AUVA,Australian Values Party,WILLIAMS,Daniel
Wide Bay,ALP,Australian Labor Party,WILLIAMS,Geoff
Hasluck,IND,Independent,WILLIAMS,Jeanene
Hawke,CYA,Australian Federation Party,WILLIAMS,Michael
Indi,UAPP,United Australia Party,WILLIAMS,Stephen
Page,UAPP,United Australia Party,WILLIAMSON,Ian
Dunkley,LDP,Liberal Democrats,WILLIS,Damian
Hotham,GVIC,The Greens,WILLOUGHBY,Louisa
Petrie,LDP,Liberal Democrats,WILSON,Anneke
Wannon,ALP,Australian Labor Party,WILSON,Gilbert
Fremantle,ALP,Australian Labor Party,WILSON,Josh
O'Connor,LP,Liberal,WILSON,Rick
Goldstein,LP,Liberal,WILSON,Tim
Hindmarsh,GAP,The Great Australian Party,WITT,Jamie
Whitlam,UAPP,United Australia Party,WODE,Allan
Menzies,LP,Liberal,WOLAHAN,Keith
Fraser,LP,Liberal,WOOD,David
La Trobe,LP,Liberal,WOOD,Jason
Dunkley,CYA,Australian Federation Party,WOODS,Kathryn
Wide Bay,CYA,Australian Federation Party,WOODWARD,John
Berowra,IND,Independent,WOODWARD,Roger
Oxley,GRN,Queensland Greens,WORSTELING,Asha
Wills,LP,Liberal,WRIGHT,Tom
Hasluck,LP,Liberal,WYATT,Ken
Dawson,UAPP,United Australia Party,YOUNG,Christian Nigel
Bonner,ALP,Australian Labor Party,YOUNG,Tabatha
Longman,LNP,Liberal National Party of Queensland,YOUNG,Terry
Macarthur,ON,Pauline Hanson's One Nation,ZAHRA,Adam
Makin,ALP,Australian Labor Party,ZAPPIA,Tony
Jagajaga,UAPP,United Australia Party,ZELINKA,Allison
Grayndler,LP,Liberal,ZHANG,Ben
Sydney,CEC,Citizens Party,ZHOU,Wen
North Sydney,LP,Liberal,ZIMMERMAN,Trent
Wills,UAPP,United Australia Party,ZIVKOVIC,Irene
