DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Gorton,VNS,Victorian Socialists,GIBSON,Belle
Dickson,ON,Pauline Hanson's One Nation,GIBSON,Tamera
Deakin,UAPP,United Australia Party,GIDLEY,Bianca Joy
Longman,AJP,Animal Justice Party,GILBARD,Paula
Indi,GVIC,The Greens,GILBERT,Benjamin
Scullin,ALP,Australian Labor Party,GILES,Andrew
Lyne,NP,The Nationals,GILLESPIE,David
Tangney,WAP,WESTERN AUSTRALIA PARTY,GILLETT,Jay Dean
Warringah,GRN,The Greens,GLANVILLE,Kristyn
Gellibrand,LDP,Liberal Democrats,GLASSON,Chloe
Brand,GAP,The Great Australian Party,GLEESON,Andrew
Cunningham,LDP,Liberal Democrats,GLOVER,Michael
Kingston,ON,Pauline Hanson's One Nation,GODFREY-BROWN,Robert
Burt,LP,Liberal,GOODE,David
Moore,LP,Liberal,GOODENOUGH,Ian
Mackellar,ALP,Labor,GOODMAN,Paula
Solomon,GRN,The Greens,GOODRICH CARTTLING,Aiya
Barton,LP,Liberal,GOODY,John
Perth,ALP,Australian Labor Party,GORMAN,Patrick
Solomon,ALP,A.L.P.,GOSLING,Luke
Swan,AUC,Australian Christians,GOWER,Dena
Lyons,ON,Pauline Hanson's One Nation,GOYNE,Emma Jane
Ballarat,IND,Independent,GRAHAM,Alex
Wannon,ON,Pauline Hanson's One Nation,GRAHAM,Ronnie
Lyons,AJP,Animal Justice Party,GRALTON,Anna Megan
Fenner,ON,Pauline Hanson's One Nation,GRANT,Lucia
Sturt,UAPP,United Australia Party,GRANT,Stephen
Adelaide,LP,Liberal,GRANTHAM,Amy
Lingiari,IND,Independent,GRAVENER,Michael Setford
Forde,IND,Independent,GREAVES,Christopher
Ballarat,LP,Liberal,GREEN,Ben
Cunningham,GRN,The Greens,GREEN,Dylan
Swan,AJP,Animal Justice Party,GREEN,Timothy
Deakin,ALP,Australian Labor Party,GREGG,Matt
Shortland,GRN,The Greens,GRIERSON,Kim
Lyons,LDP,Liberal Democrats,GRIFFITHS,Rhys
Curtin,ON,Pauline Hanson's One Nation,GRILLO,Dale Marie
Cunningham,ON,Pauline Hanson's One Nation,GROGAN,Thomas
Petrie,UAPP,United Australia Party,GUENOUN,Kelly Anne
Cook,UAPP,United Australia Party,GUINANE,Jacqueline
Blaxland,LP,Liberal,GUNEY,Oz
Moore,WAP,WESTERN AUSTRALIA PARTY,GUNNESS,Peter
Perth,CYA,Australian Federation Party,GYURU,Aiden
Grey,IND,Independent,HABERMANN,Liz
Mallee,IND,Independent,HAENEL,Claudia
Robertson,CYA,Australian Federation Party,HAFNER,Alexandra
Grayndler,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",HAGGERTY,James
Indi,IND,Independent,HAINES,Helen
Forde,GRN,Queensland Greens,HALL,Jordan
Dawson,ON,Pauline Hanson's One Nation,HALL,Julie
Swan,ON,Pauline Hanson's One Nation,HALLIFAX,Peter
