bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
Emergency Action Alliance Limited,transitional,128,24136.0,17132.5,7003.5,0.40878447395301326,1.400273450447464,0.6489261173860943
Engineers Australia,ongoing,237,98581.5,14185.833333333332,84611.91666666666,5.96453621570816,8.814882881827725,0.5930386904396941
Entain Group Australia ,election_only,31,35934.5,30861.416666666664,0.0,0.0,-1.8773196536436507,0.9277953979367827
Environment Centre NT,ongoing,27,2536.5,1092.0,1494.0,1.3681318681318682,5.055870898243287,0.4531429272583565
Environment Victoria,ongoing,219,34940.5,19086.958333333332,15637.208333333334,0.8192614066760245,1.009831735137118,0.44472638103694767
Environmental Defenders Office,ongoing,282,35859.0,15454.5,21806.541666666668,1.4110156696539304,-5.2817673891807395,0.5433174508895912
Environmental Justice Australia,ongoing,61,4919.5,671.3333333333334,4547.666666666667,6.77408142999007,11.408822160786139,0.4467952051780371
Epiphany Productions,election_only,28,1386.0,0.0,1427.25,,14.7943848059455,0.43098519977132693
Equality Australia,election_only,41,13329.5,13509.625,2489.5,0.1842760254263164,-14.512985643188083,0.15063383874959504
Evripides Evripidou,off_campaign,36,1782.0,0.0,1410.75,,25.426065162907268,0.02670136880663197
FOUR PAWS Australia,transitional,164,21418.0,13952.500000000002,8750.958333333332,0.6271964403034103,-3.3918458510490193,0.7681102746263524
Fair Agenda,transitional,34,5183.0,3274.9583333333335,1697.0,0.5181745314825889,-3.07643342603578,0.5993405598817618
Fair Business Australia,election_only,38,1881.0,1332.375,0.0,0.0,-1.4201680672268908,0.9453781512605042
Family First Party SA,election_only,20,1790.0,1790.0,0.0,0.0,-11.019034317637669,0.5761909877831665
FamilyVoice Australia,ongoing,46,2377.0,1337.5833333333333,1142.625,0.8542458413805993,-3.023365932681346,0.661546861370465
Fansdonate.com Pty Ltd.,election_only,50,2475.0,0.0,2475.0,,5.865714285714286,0.7743956043956044
Farmers for Climate Action,transitional,86,28057.0,21069.25,6706.791666666666,0.3183213292673762,-2.8357333047601205,0.6592407052913334
Federal ICAC Now,election_only,24,1588.0,1472.3333333333335,0.0,0.0,-1.8268055241113879,0.9297382490726389
Felicity Frederico - State Election Candidate,off_campaign,25,6637.5,0.0,6341.875,,24.55294597981106,0.05871426297167897
Festival of Dangerous Ideas,election_only,730,39235.0,0.0,39239.125,,13.105329911699833,0.4959488495500065
Fiona Stuart Simpson,ongoing,37,2931.5,1263.7916666666667,1659.2083333333333,1.3128812106425767,3.6682835638531834,0.5778554322858119
Fire Brigade Employees Union,ongoing,46,44277.0,15282.0,28928.5,1.89297866771365,8.584121903814058,0.29192268978914687
First Peoples' Assembly of Victoria,ongoing,127,11386.5,5878.583333333333,5673.25,0.9650709496335569,-1.4884918287552793,0.5923167849449393
First Tier Media,election_only,95,17402.5,13167.458333333332,0.0,0.0,-1.5027921015598973,0.9422003037861579
Flinders University,transitional,54,18073.0,11588.0,6476.75,0.55891870900932,-2.8346375043741463,0.34304152994212367
Future Super,ongoing,292,402754.0,121775.625,283131.75,2.3250280998352504,5.67670494129323,0.4886853718739345
Gabrielle Williams MP,ongoing,54,12573.0,49.5,12074.25,243.92424242424244,22.589539422326304,0.12901001462708858
Gary Maas MP,ongoing,89,19555.5,6618.708333333334,12932.75,1.9539688635118884,5.13900741175987,0.2530563014829959
Gemma Nichole Jenkin,off_campaign,30,2385.0,0.0,2385.0,,18.114854746930217,0.30327481742576085
Gen United,election_only,39,5430.5,4023.125,797.0,0.1981047071617213,-0.3143220203981078,0.771251543508487
Gender Awareness Australia,ongoing,209,101195.5,43129.0,59424.08333333333,1.3778219604751636,0.924796322090569,0.3966394621665022
Genus Earth Pty Ltd,election_only,257,15721.5,0.0,15721.5,,11.566492201307582,0.5551349153343239
Georgie Crozier MP,ongoing,28,1486.0,793.0,771.375,0.9727301387137453,-2.2304662975857545,0.7985107980313734
GetUp!,election_only,424,203838.0,178388.375,20734.958333333332,0.11623491908221784,-3.1688067816309107,0.7675061882975321
Gillian M Aldridge,off_campaign,35,5132.5,0.0,5132.5,,21.659167768422517,0.1669550858299032
Glen Eira City Council,ongoing,25,1637.5,429.0,1196.2916666666667,2.7885586635586637,15.640317305685057,0.2934473299664163
Go Gentle Australia,ongoing,26,15187.0,3147.2916666666665,13193.0,4.1918580790362086,2.2351796920335323,0.7864154755555615
Go Neutral,transitional,121,24789.5,15497.5,10099.25,0.6516696241329246,-8.405901837426347,0.4577391242470793
