bylines,mean_prob_outside,mean_prob_inside,shift,total_spend,n_ads,mean_election_prob_weighted
Aidan David,0.4012462372657796,,,148.5,3,0.40124623726577957
Airlie Katherine Keen,0.7532367234097156,,,643.5,13,0.7532367234097154
Alan Anthony Junior Murray,0.6824464620904273,,,744.5,11,0.566782924428887
Alan Graham,0.7001528726638606,,,693.0,14,0.7001528726638606
Alan Harris,0.260955438644324,,,2290.0,20,0.3070043554600248
Alan Leslie Tickle,0.04892450190301837,,,248.5,3,0.04966729177229891
"Alcohol, Tobacco and other Drugs Council Tasmania",0.0038674833160601274,,,49.5,1,0.0038674833160601274
Aldo4Kingborough,0.372814329119342,,,396.0,8,0.37281432911934204
Alex Antic,0.7561052708936083,0.8891563138521641,0.13305104295855574,16339.5,21,0.8878677830503671
Alex Joseph Britton,0.7654764385838894,,,548.5,3,0.9302521932876969
Alex Radda,0.5942139201769395,,,247.5,5,0.5942139201769395
Alexander Ian Wilkinson,0.9990707040249505,,,249.5,1,0.9990707040249505
Alexander Karavas,0.8065033949472701,,,149.5,1,0.8065033949472701
Alexander Lew,0.6474846880304006,,,49.5,1,0.6474846880304007
Alexander Nancarrow,0.6617137197646878,,,247.5,5,0.6617137197646878
Alexandra Dianne Wyatt,0.8765337524128408,,,297.0,6,0.8765337524128408
Ali Cupper's Election Campaign,0.8016764357182754,,,2643.5,13,0.7779427087245548
Ali Kent MLA,0.22491691557766877,,,396.0,8,0.2249169155776688
Ali King,0.3856952967997492,,,1694.0,12,0.4355955318624703
Ali Lauren Sawyer,0.3679200019040112,,,198.0,4,0.36792000190401125
Alice Helen Glachan,0.548955743774173,,,247.5,5,0.548955743774173
Alicia Maria Helene Corsar,0.6604259973864544,,,648.5,3,0.6100836674069527
Alison Champion,0.4140791198019938,0.5854526943958529,0.1713735745938591,1644.5,11,0.42896363337860366
Alison Claire Courtice,0.5450514924485019,,,199.0,2,0.6338244593397587
Alison K Barnes,0.32210474497903596,0.035343381972845034,-0.28676136300619093,297.0,6,0.2743111844780041
Allan Stanfield,0.40861120760717484,0.451373855485071,0.04276264787789613,8242.5,15,0.3780130024517035
Allen George Grundy,0.5933597504244014,,,596.0,8,0.7125191360772098
Alliance for Gambling Refom,0.8483118667227245,,,796.0,8,0.8390024758106843
Allied Gaming,0.030132779127811538,,,248.5,3,0.030132779127811534
Allied Health Professions Australia,0.30260031212301497,0.16180861882191816,-0.1407916933010968,3094.0,12,0.2564318786505467
Allies in Colour Pty Ltd,0.713546879004924,,,198.0,4,0.713546879004924
Allways Coffee,0.24768236863565338,0.3557298720590176,0.10804750342336425,990.0,20,0.2638894941491581
Amanda Alexandra Mccormack,0.3831479611674906,,,148.5,3,0.3831479611674906
Amanda Brien,0.4555439194412036,,,99.0,2,0.4555439194412036
Amanda Camm MP,0.0025281467074196318,,,399.0,2,0.0025281467074196318
Amanda Camm MP - Member for Whitsunday,,0.7634371840931715,,49.5,1,0.7634371840931715
Amanda Caroline Spencer-Teo,0.5905464854334986,,,148.5,3,0.5905464854334986
Amandeep Singh Grewal,,0.5661901746658691,,1343.5,13,0.45607985457070693
Amateur Fishermen's Association NT (AFANT),0.035147818592259295,,,199.0,2,0.04641821172771346
Amber-Jade Sanderson,0.4085416265633348,,,148.5,3,0.4085416265633348
Ambulance Employees Association,0.6833497052291243,,,38398.5,3,0.6723649265733792
Amina Houda Keygan,0.3611188927965387,,,544.5,11,0.3611188927965387
Amita Ros,0.8409131695592211,,,49.5,1,0.8409131695592211
Amnesty International Australia,0.3502767601658036,0.5053941136560794,0.15511735349027583,854819.0,2262,0.283276653493329
Ampol Australia,0.0011717430805264772,,,1249.5,1,0.0011717430805264772
Amy Blitvich for Balga Ward,0.5422037840674087,,,1193.0,14,0.6534988172082788
Amy Johnson,0.41617074724629766,,,49.5,1,0.41617074724629766
Amy Maree Eden,0.244607612790418,,,297.0,6,0.24460761279041804
Ananda Ranga Lalbahadur Sunkanpally,0.8888775066278672,,,2185.0,30,0.8954769824386576
AndMine Pty Ltd,0.4303491149887042,,,17293.5,13,0.6419796505987376
Andrea M Bunting,0.9995308119742701,,,99.0,2,0.99953081197427
Andrea Michaels MP,0.2975618203679003,,,99.0,2,0.2975618203679003
Andrew Boyd Barber,0.6222232866195823,,,49.5,1,0.6222232866195823
Andrew Braddock MLA,0.48448339846845967,,,495.0,10,0.48448339846845967
Andrew Douglas Church,0.7861453111715432,0.8830226951357107,0.09687738396416756,940.5,19,0.8065405499008418
Andrew Edward Zbik,0.5871904588458927,,,347.5,5,0.6346327748349929
Andrew James Anthony,0.5676520294015445,,,49.5,1,0.5676520294015445
Andrew James Hay,0.5856337600623799,,,198.0,4,0.5856337600623798
Andrew John Arthur,0.00011096994306658559,,,49.5,1,0.00011096994306658559
Andrew John Bartlett,,0.9999980768046876,,49.5,1,0.9999980768046874
Andrew Lovitt,0.4388665677176118,,,9744.5,11,0.3810723010783273
Andrew Powell MP,0.3352399793433923,,,99.0,2,0.3352399793433923
Andrew Reay Mackay,0.010719955047858498,,,49.5,1,0.010719955047858498
Andrew Van Rooyen,0.5856352629735065,,,198.0,4,0.5856352629735065
Andrew Wines,0.2581517020842317,0.21213015730937418,-0.04602154477485754,3269.0,62,0.26847020505145003
Andrew Woodward,0.5644313131073703,,,248.5,3,0.7396885970514867
Andy Xing ,0.6916709061443924,,,646.5,7,0.3961863068491025
Angela May Humphries,0.3931282349948904,,,148.5,3,0.3931282349948904
Angela Schiller,0.8556586740598932,,,841.5,17,0.855658674059893
Anglican Aid,0.41725849204631643,0.5041421402668163,0.08688364822049982,3168.0,64,0.42947650507732427
Anglican Youthworks,0.7989751884967092,,,1448.5,3,0.7989751884967093
Anglicare Victoria,0.6233937201290304,,,297.0,6,0.6233937201290304
Animal Liberation,0.006229670585085112,,,497.0,6,0.00710009044009928
Animal Liberation (QLD) Limited,0.5460329290566148,,,795.0,10,0.4368129353904817
Animal Liberation Queensland,0.0005751751962144169,,,49.5,1,0.0005751751962144169
Animals Australia,0.582588246857492,0.6164254562532969,0.033837209395804924,51114.0,572,0.6608591301090886
Anita Dow MP,0.5262852972013904,0.786311347854394,0.26002605065300366,1237.5,25,0.5470873812536308
Ann Leahy MP,0.7851466265970151,0.7074224493574983,-0.07772417723951675,596.0,8,0.7600507019853788
Ann-Maree Greaney,0.09402014977127993,,,49.5,1,0.09402014977127991
Anna Marie Reynolds,0.5879085158175323,,,594.0,12,0.5879085158175325
Annastacia Palaszczuk MP,0.37166747267393385,0.8366079643475475,0.4649404916736136,12571.0,58,0.3999259071047361
